NumberPeople,NumberItems,ConsistentPercent
3,3,0.94
4,3,1
7,3,0.93
10,3,0.97
16,3,0.99
25,3,0.9
38,3,0.92
59,3,0.86
91,3,0.91
139,3,0.93
214,3,0.94
328,3,0.92
503,3,0.88
771,3,0.88
1182,3,0.91
1812,3,0.97
2778,3,0.93
4257,3,0.85
6525,3,0.89
10000,3,0.92
3,6,0.47
4,6,1
7,6,0.37
10,6,0.78
16,6,0.75
25,6,0.38
38,6,0.5
59,6,0.4
91,6,0.32
139,6,0.28
214,6,0.32
328,6,0.41
503,6,0.44
771,6,0.33
1182,6,0.41
1812,6,0.36
2778,6,0.29
4257,6,0.34
6525,6,0.31
10000,6,0.29
3,9,0.17
4,9,0.91
7,9,0.04
10,9,0.52
16,9,0.36
25,9,0.05
38,9,0.25
59,9,0.05
91,9,0.01
139,9,0.03
214,9,0.07
328,9,0.11
503,9,0.03
771,9,0.02
1182,9,0.04
1812,9,0.05
2778,9,0.03
4257,9,0.08
6525,9,0.02
10000,9,0.06
3,12,0.03
4,12,0.87
7,12,0.01
10,12,0.19
16,12,0.07
25,12,0
38,12,0.02
59,12,0
91,12,0
139,12,0.01
214,12,0
328,12,0
503,12,0
771,12,0
1182,12,0
1812,12,0.01
2778,12,0
4257,12,0
6525,12,0
10000,12,0
3,15,0.01
4,15,0.68
7,15,0
10,15,0.04
16,15,0.02
25,15,0
38,15,0
59,15,0
91,15,0
139,15,0
214,15,0
328,15,0
503,15,0
771,15,0
1182,15,0
1812,15,0
2778,15,0
4257,15,0
6525,15,0
10000,15,0
3,18,0
4,18,0.63
7,18,0
10,18,0
16,18,0
25,18,0
38,18,0
59,18,0
91,18,0
139,18,0
214,18,0
328,18,0
503,18,0
771,18,0
1182,18,0
1812,18,0
2778,18,0
4257,18,0
6525,18,0
10000,18,0
