NumberPeople,NumberItems,ConsistentPercent
3,3,0.945
4,3,1
5,3,0.91
6,3,1
7,3,0.945
8,3,1
9,3,0.94
10,3,0.98
11,3,0.925
12,3,0.97
14,3,1
16,3,0.995
18,3,0.995
20,3,0.97
23,3,0.93
25,3,0.885
29,3,0.91
32,3,0.97
36,3,0.98
41,3,0.905
46,3,0.94
52,3,0.95
58,3,0.955
65,3,0.915
74,3,0.96
83,3,0.86
93,3,0.955
105,3,0.89
118,3,0.925
133,3,0.915
150,3,0.98
169,3,0.945
190,3,0.92
214,3,0.945
241,3,0.905
271,3,0.93
306,3,0.93
344,3,0.94
387,3,0.91
436,3,0.93
491,3,0.94
553,3,0.92
622,3,0.96
701,3,0.895
789,3,0.885
888,3,0.945
1000,3,0.94
3,4,0.83
4,4,1
5,4,0.745
6,4,0.985
7,4,0.7
8,4,0.97
9,4,0.77
10,4,0.955
11,4,0.8
12,4,0.94
14,4,0.9
16,4,0.905
18,4,0.94
20,4,0.92
23,4,0.685
25,4,0.76
29,4,0.74
32,4,0.905
36,4,0.885
41,4,0.775
46,4,0.855
52,4,0.89
58,4,0.81
65,4,0.745
74,4,0.875
83,4,0.74
93,4,0.72
105,4,0.805
118,4,0.785
133,4,0.785
150,4,0.78
169,4,0.755
190,4,0.815
214,4,0.8
241,4,0.735
271,4,0.74
306,4,0.795
344,4,0.785
387,4,0.75
436,4,0.825
491,4,0.76
553,4,0.775
622,4,0.74
701,4,0.795
789,4,0.755
888,4,0.795
1000,4,0.8
3,5,0.745
4,5,0.995
5,5,0.6
6,5,0.975
7,5,0.6
8,5,0.945
9,5,0.55
10,5,0.925
11,5,0.585
12,5,0.89
14,5,0.835
16,5,0.83
18,5,0.795
20,5,0.79
23,5,0.49
25,5,0.565
29,5,0.56
32,5,0.74
36,5,0.72
41,5,0.49
46,5,0.68
52,5,0.685
58,5,0.685
65,5,0.51
74,5,0.665
83,5,0.49
93,5,0.525
105,5,0.525
118,5,0.7
133,5,0.475
150,5,0.625
169,5,0.505
190,5,0.645
214,5,0.6
241,5,0.51
271,5,0.495
306,5,0.565
344,5,0.55
387,5,0.545
436,5,0.555
491,5,0.52
553,5,0.56
622,5,0.58
701,5,0.51
789,5,0.515
888,5,0.615
1000,5,0.59
3,6,0.55
4,6,0.995
5,6,0.41
6,6,0.935
7,6,0.36
8,6,0.8
9,6,0.355
10,6,0.875
11,6,0.33
12,6,0.815
14,6,0.74
16,6,0.75
18,6,0.69
20,6,0.72
23,6,0.36
25,6,0.35
29,6,0.35
32,6,0.635
36,6,0.625
41,6,0.32
46,6,0.545
52,6,0.51
58,6,0.54
65,6,0.35
74,6,0.55
83,6,0.4
93,6,0.295
105,6,0.33
118,6,0.415
133,6,0.27
150,6,0.39
169,6,0.345
190,6,0.405
214,6,0.435
241,6,0.395
271,6,0.35
306,6,0.375
344,6,0.455
387,6,0.36
436,6,0.345
491,6,0.32
553,6,0.305
622,6,0.405
701,6,0.325
789,6,0.32
888,6,0.405
1000,6,0.345
3,7,0.38
4,7,0.985
5,7,0.255
6,7,0.87
7,7,0.245
8,7,0.78
9,7,0.235
10,7,0.745
11,7,0.23
12,7,0.63
14,7,0.59
16,7,0.65
18,7,0.54
20,7,0.525
23,7,0.195
25,7,0.185
29,7,0.295
32,7,0.465
36,7,0.44
41,7,0.21
46,7,0.455
52,7,0.365
58,7,0.345
65,7,0.255
74,7,0.295
83,7,0.175
93,7,0.175
105,7,0.21
118,7,0.3
133,7,0.19
150,7,0.275
169,7,0.195
190,7,0.285
214,7,0.265
241,7,0.185
271,7,0.18
306,7,0.29
344,7,0.21
387,7,0.15
436,7,0.2
491,7,0.16
553,7,0.16
622,7,0.23
701,7,0.185
789,7,0.185
888,7,0.215
1000,7,0.235
3,8,0.265
4,8,0.97
5,8,0.115
6,8,0.785
7,8,0.105
8,8,0.705
9,8,0.11
10,8,0.565
11,8,0.1
12,8,0.555
14,8,0.48
16,8,0.5
18,8,0.465
20,8,0.475
23,8,0.085
25,8,0.075
29,8,0.095
32,8,0.355
36,8,0.28
41,8,0.09
46,8,0.25
52,8,0.235
58,8,0.19
65,8,0.1
74,8,0.25
83,8,0.105
93,8,0.09
105,8,0.085
118,8,0.185
133,8,0.055
150,8,0.14
169,8,0.115
190,8,0.2
214,8,0.145
241,8,0.075
271,8,0.07
306,8,0.125
344,8,0.125
387,8,0.06
436,8,0.13
491,8,0.1
553,8,0.075
622,8,0.1
701,8,0.075
789,8,0.045
888,8,0.12
1000,8,0.09
3,9,0.18
4,9,0.94
5,9,0.065
6,9,0.695
7,9,0.06
8,9,0.545
9,9,0.045
10,9,0.475
11,9,0.05
12,9,0.4
14,9,0.345
16,9,0.395
18,9,0.315
20,9,0.275
23,9,0.04
25,9,0.03
29,9,0.045
32,9,0.175
36,9,0.15
41,9,0.02
46,9,0.15
52,9,0.14
58,9,0.14
65,9,0.04
74,9,0.12
83,9,0.03
93,9,0.04
105,9,0.025
118,9,0.065
133,9,0.035
150,9,0.055
169,9,0.025
190,9,0.08
214,9,0.055
241,9,0.035
271,9,0.025
306,9,0.075
344,9,0.025
387,9,0.02
