NumberPeople,NumberItems,ConsistentPercent
3,3,0.96
5,3,0.945
7,3,0.93
9,3,0.905
11,3,0.93
13,3,0.935
15,3,0.885
17,3,0.925
19,3,0.945
21,3,0.91
23,3,0.915
25,3,0.91
27,3,0.91
29,3,0.92
31,3,0.905
33,3,0.92
35,3,0.905
37,3,0.895
39,3,0.87
41,3,0.89
43,3,0.92
45,3,0.93
47,3,0.89
49,3,0.875
51,3,0.895
53,3,0.93
55,3,0.92
57,3,0.91
59,3,0.935
61,3,0.88
63,3,0.885
65,3,0.9
67,3,0.935
69,3,0.9
71,3,0.95
73,3,0.93
75,3,0.895
77,3,0.905
79,3,0.9
81,3,0.935
83,3,0.925
85,3,0.91
87,3,0.91
89,3,0.9
91,3,0.905
93,3,0.905
95,3,0.93
97,3,0.885
99,3,0.905
3,4,0.835
5,4,0.78
7,4,0.765
9,4,0.73
11,4,0.775
13,4,0.755
15,4,0.785
17,4,0.71
19,4,0.765
21,4,0.73
23,4,0.775
25,4,0.755
27,4,0.75
29,4,0.725
31,4,0.785
33,4,0.74
35,4,0.73
37,4,0.745
39,4,0.74
41,4,0.73
43,4,0.745
45,4,0.69
47,4,0.735
49,4,0.725
51,4,0.73
53,4,0.735
55,4,0.755
57,4,0.715
59,4,0.74
61,4,0.745
63,4,0.725
65,4,0.71
67,4,0.755
69,4,0.795
71,4,0.755
73,4,0.765
75,4,0.715
77,4,0.715
79,4,0.71
81,4,0.735
83,4,0.77
85,4,0.745
87,4,0.78
89,4,0.78
91,4,0.745
93,4,0.76
95,4,0.755
97,4,0.735
99,4,0.755
3,5,0.66
5,5,0.64
7,5,0.555
9,5,0.58
11,5,0.55
13,5,0.505
15,5,0.595
17,5,0.605
19,5,0.51
21,5,0.565
23,5,0.545
25,5,0.585
27,5,0.56
29,5,0.585
31,5,0.525
33,5,0.505
35,5,0.555
37,5,0.51
39,5,0.535
41,5,0.52
43,5,0.5
45,5,0.545
47,5,0.49
49,5,0.585
51,5,0.48
53,5,0.555
55,5,0.515
57,5,0.615
59,5,0.53
61,5,0.59
63,5,0.535
65,5,0.5
67,5,0.56
69,5,0.53
71,5,0.53
73,5,0.59
75,5,0.615
77,5,0.57
79,5,0.54
81,5,0.51
83,5,0.53
85,5,0.545
87,5,0.505
89,5,0.57
91,5,0.52
93,5,0.51
95,5,0.525
97,5,0.54
99,5,0.51
3,6,0.55
5,6,0.44
7,6,0.42
9,6,0.36
11,6,0.405
13,6,0.355
15,6,0.38
17,6,0.295
19,6,0.335
21,6,0.325
23,6,0.32
25,6,0.335
27,6,0.345
29,6,0.31
31,6,0.365
33,6,0.345
35,6,0.31
37,6,0.32
39,6,0.325
41,6,0.32
43,6,0.38
45,6,0.39
47,6,0.335
49,6,0.335
51,6,0.325
53,6,0.3
55,6,0.375
57,6,0.34
59,6,0.36
61,6,0.335
63,6,0.28
65,6,0.335
67,6,0.345
69,6,0.355
71,6,0.38
73,6,0.345
75,6,0.345
77,6,0.36
79,6,0.335
81,6,0.33
83,6,0.285
85,6,0.38
87,6,0.32
89,6,0.355
91,6,0.325
93,6,0.32
95,6,0.33
97,6,0.385
99,6,0.325
3,7,0.275
5,7,0.2
7,7,0.22
9,7,0.255
11,7,0.18
13,7,0.19
15,7,0.24
17,7,0.21
19,7,0.225
21,7,0.255
23,7,0.195
25,7,0.17
27,7,0.13
29,7,0.22
31,7,0.205
33,7,0.21
35,7,0.21
